location,density
Wychwood,0.0
Yonge-Eglinton,0.0
Yonge-St.Clair,0.0
York University Heights,0.0
Yorkdale-Glen Park,0.0
Lambton Baby Point,0.0
Lansing-Westgate,0.0
Lawrence Park North,0.0
Lawrence Park South,0.0
Leaside-Bennington,0.0
Little Portugal,0.0
Long Branch,0.0
Malvern,0.0
Maple Leaf,0.0
Markland Wood,0.0
Milliken,0.0
Mimico,0.0
Morningside,0.0
Moss Park,0.0
Mount Dennis,0.0
Mount Olive-Silverstone-Jamestown,0.0
Mount Pleasant East,0.0
Mount Pleasant West,0.0
New Toronto,0.0
Newtonbrook East,0.0
Newtonbrook West,0.0
Niagara,0.0
North Riverdale,0.0
North St.James Town,0.0
O'Connor-Parkview,0.0
Oakridge,0.0
Oakwood Village,0.0
Old East York,0.0
Palmerston-Little Italy,0.0
Parkwoods-Donalda,0.0
Pelmo Park-Humberlea,0.0
Playter Estates-Danforth,0.0
Pleasant View,0.0
Princess-Rosethorn,0.0
Regent Park,0.0
Rexdale-Kipling,0.0
Rockcliffe-Smythe,0.0
Roncesvalles,0.0
Rosedale-Moore Park,0.0
Rouge,0.0
Runnymede-Bloor West Village,0.0
Rustic,0.0
Scarborough Village,0.0
South Parkdale,0.0
South Riverdale,0.0
St.Andrew-Windfields,0.0
Steeles,0.0
Stonegate-Queensway,0.0
Tam O'Shanter-Sullivan,0.0
Taylor-Massey,0.0
The Beaches,0.0
Thistletown-Beaumond Heights,0.0
Thorncliffe Park,0.0
Trinity-Bellwoods,0.0
University,0.0
Victoria Village,0.0
Waterfront Communities-The Island,0.0
West Hill,0.0
West Humber-Clairville,0.0
Westminster-Branson,0.0
Weston,0.0
Weston-Pellam Park,0.0
Wexford/Maryvale,0.0
Willowdale East,0.0
Willowdale West,0.0
Willowridge-Martingrove-Richview,0.0
Woburn,0.0
Woodbine Corridor,0.0
Woodbine-Lumsden,0.0
Agincourt North,0.0
Agincourt South-Malvern West,0.0
Alderwood,0.0
Annex,0.0
Banbury-Don Mills,0.0
Bathurst Manor,0.0
Bay Street Corridor,0.0
Bayview Village,0.0
Bayview Woods-Steeles,0.0
Bedford Park-Nortown,0.0
Beechborough-Greenbrook,0.0
Bendale,0.0
Birchcliffe-Cliffside,0.0
Black Creek,0.0
Blake-Jones,0.0
Briar Hill-Belgravia,0.0
Bridle Path-Sunnybrook-York Mills,0.0
Broadview North,0.0
Brookhaven-Amesbury,0.0
Cabbagetown-South St.James Town,0.0
Caledonia-Fairbank,0.0
Casa Loma,0.0
Centennial Scarborough,0.0
Church-Yonge Corridor,0.0
Clairlea-Birchmount,0.0
Clanton Park,0.0
Cliffcrest,0.0
Corso Italia-Davenport,0.0
Danforth,0.0
Danforth East York,0.0
Don Valley Village,0.0
Dorset Park,0.0
Dovercourt-Wallace Emerson-Junction,0.0
Downsview-Roding-CFB,0.0
Dufferin Grove,0.0
East End-Danforth,0.0
Edenbridge-Humber Valley,0.0
Eglinton East,0.0
Elms-Old Rexdale,0.0
Englemount-Lawrence,0.0
Eringate-Centennial-West Deane,0.0
Etobicoke West Mall,0.0
Flemingdon Park,0.0
Forest Hill North,0.0
Forest Hill South,0.0
Glenfield-Jane Heights,0.0
Greenwood-Coxwell,0.0
Guildwood,0.0
Henry Farm,0.0
High Park North,0.0
High Park-Swansea,0.0
Highland Creek,0.0
Hillcrest Village,0.0
Humber Heights-Westmount,0.0
Humber Summit,0.0
Humbermede,0.0
Humewood-Cedarvale,0.0
Ionview,0.0
Islington-City Centre West,0.0
Junction Area,0.0
Keelesdale-Eglinton West,0.0
Kennedy Park,0.0
Kensington-Chinatown,0.0
Kingsview Village-The Westway,0.0
Kingsway South,0.0
L'Amoreaux,0.0
